,Unnamed: 0,txnHash,value,tokenAddress,amount,sellDecimals,sellSymbol,txHash,gasLimit,gasUsed,gasPrice,timestamp,blockNumber,from,to,payloadTO,payloadValue,payloadMethodID,payLoadOffset,payLoadLength,nestedMethodID,nestedPayload,datetime,uniquePriceQueriesPK,approxUSDMarkSell,totalTradeValue
0,0,0x124d9e0f4bc1919e34152ac2c282e5c40d27c84f13b3c354b4724445f9104c59,0,0xae78736Cd615f374D3085123A210448E74Fc6393,35.57738707973563,18.0,rETH,0x124d9e0f4bc1919e34152ac2c282e5c40d27c84f13b3c354b4724445f9104c59,232073,163058,28389459478,1651656005,14710080,0xb24092d177B95ff7a9002C9440dE11916258Fb50,0xb1dC62436Bc918FAfbF84E413028FB6CA185aDBa,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x000000000000000000000000000000000000000000000001faa396a6ca50daec,0x6a761202,10,840,0x5ae401dc,0000000000000000000000000000000000000000000000000000000062724bfa00000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000e404e45aaf000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000ae78736cd615f374d3085123a210448e74fc639300000000000000000000000000000000000000000000000000000000000001f4000000000000000000000000b1dc62436bc918fafbf84e413028fb6ca185adba000000000000000000000000000000000000000000000001faa396a6ca50daec000000000000000000000000000000000000000000000001eb476ebcfe24c108000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,04-05-2022,0xae78736Cd615f374D3085123A210448E74Fc6393_04-05-2022,2860.636552205348,101773.97391225002
1,1,0x566a460e991c38c930b974cf9665e36e8500b4473f1c537e6d6d0d102e9592b7,0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1002.686014,6.0,USDC,0x566a460e991c38c930b974cf9665e36e8500b4473f1c537e6d6d0d102e9592b7,279570,219348,43676764698,1651662263,14710556,0xf3aE350440a5366793DC909DB2F6098445EB8207,0x29F9630147fdE874Bc2EC24442F5A6285A5F6eF9,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0000000000000000000000000000000000000000000000000000000000000000,0x6a761202,10,1288,0xac9650d8,000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000001a00000000000000000000000000000000000000000000000000000000000000084fc6f78650000000000000000000000000000000000000000000000000000000000036be8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffff00000000000000000000000000000000ffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004449404b7c0000000000000000000000000000000000000000000000000503afc0e6aa7c0b00000000000000000000000029f9630147fde874bc2ec24442f5a6285a5f6ef9000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064df2ab5bb000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000000000000000000000000000000000003bbad41600000000000000000000000029f9630147fde874bc2ec24442f5a6285a5f6ef900000000000000000000000000000000000000000000000000000000,04-05-2022,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48_04-05-2022,0.9984317940780595,1001.1135958549983
2,2,0xc1e6ea12136ce1992eef0ca43f7c47dfe56db8f3698ae385a9ce7a99bcfd5cad,0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,24686.340919,6.0,USDC,0xc1e6ea12136ce1992eef0ca43f7c47dfe56db8f3698ae385a9ce7a99bcfd5cad,331232,304433,49115389361,1651662423,14710570,0xf3aE350440a5366793DC909DB2F6098445EB8207,0x29F9630147fdE874Bc2EC24442F5A6285A5F6eF9,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x00000000000000000000000000000000000000000000000187aebd599dd09447,0x6a761202,10,904,0xac9650d8,000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000014000000000000000000000000000000000000000000000000000000000000000c4219f5d170000000000000000000000000000000000000000000000000000000000036be800000000000000000000000000000000000000000000000000000005d3ff133d00000000000000000000000000000000000000000000000187aebd599dd09447000000000000000000000000000000000000000000000000000000059909815e00000000000000000000000000000000000000000000000182df1552f6cb186f00000000000000000000000000000000000000000000000000000000627264c800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000412210e8a00000000000000000000000000000000000000000000000000000000,04-05-2022,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48_04-05-2022,0.9984317940780595,24647.62765297978
3,3,0xab10ffbe9e60f5aaa7483328fcc24eb7d6b47cc7d14d2cb4af54e6397111d3fe,0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,17173.652872,6.0,USDC,0xab10ffbe9e60f5aaa7483328fcc24eb7d6b47cc7d14d2cb4af54e6397111d3fe,1642674,506001,49000000000,1651662423,14710570,0x6A9c7836ab5da544981B6993CFBf5414cFE02DB1,0xdf221C98492B801BCCdCD87f93097Dd9Ad0A66A7,0x1111111254fb6c44bac0bed2854e76f90643097d,0x000000000000000000000000000000000000000000000001a055690d9db80000,0x6a761202,10,11280,0x7c025200,0000000000000000000000002057cfb9fd11837d61b294d514c5bd03e5e7189a00000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000180000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee0000000000000000000000004d224452801aced8b2f0aebe155379bb5d5943810000000000000000000000002057cfb9fd11837d61b294d514c5bd03e5e7189a000000000000000000000000df221c98492b801bccdcd87f93097dd9ad0a66a7000000000000000000000000000000000000000000000001a055690d9db80000000000000000000000000000000000000000000000000114901299573d4aa4770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001460c47cf05f5b0bdf553b7fc8898cbf06f9553ad8e4b56ea52575c960ec127aaa40ef4d3c5ede93bd04a899a596088641fe868215a0158eeac690e6d7168427d2d50000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000e00000000000000000000000000000000000000000000000000000000000000180000000000000000000000000000000000000000000000000000000000000032000000000000000000000000000000000000000000000000000000000000005e000000000000000000000000000000000000000000000000000000000000007a00000000000000000000000000000000000000000000000000000000000000ee000000000000000000000000000000000000000000000000000000000000011c0000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000000000000000000000000000053444835ec58000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000004d0e30db00000000000000000000000000000000000000000000000000000000080000000000000000000000088e6a0c2ddd26feeb64f039a2c41296fcb3f5640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000104128acb080000000000000000000000002057cfb9fd11837d61b294d514c5bd03e5e7189a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053444835ec580000000000000000000000000000fffd8963efd1fc6a506488495d951d5263988d2500000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000000000040000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000022414284aab00000000000000000000000000000000000000000000000000000000000000808000000000000000000000000000000000000000000000000000000000000044000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb480000000000000000000000000000003200000000000000000000000000000032800000000000000000000000b07fe2f407f971125d4eb1977f8acee8846c7324000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000104128acb080000000000000000000000002057cfb9fd11837d61b294d514c5bd03e5e7189a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000fffd8963efd1fc6a506488495d951d5263988d2500000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000400000000000000000000000004d224452801aced8b2f0aebe155379bb5d594381000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000012414284aab00000000000000000000000000000000000000000000000000000000000000804000000000000000000000000000000000000000000000000000000000000004000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee0000000000000000000000000000019000000000000000000000000000000190000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000004d0e30db0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000006a4df92bd08000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000005a00000000000000000000000002057cfb9fd11837d61b294d514c5bd03e5e7189a00000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000001408000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000064eb5625d9000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000095e6f48254609a6ee006f7d493c8e5fb97094cef000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000800000000000000000000000080bf510fcbf18b91105470639e9561022937712000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000324b4be83d50000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000002a00000000000000000000000000000006daea1723962647b7e189d311d757fb7930000000000000000000000002057cfb9fd11837d61b294d514c5bd03e5e7189a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000de75f55a51177000000000000000000000000000000000000000000000000000014d1120d7b1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000062725e870000000000000000000000000000000000000000000000000000000030af9cb3000000000000000000000000000000000000000000000000000000000000018000000000000000000000000000000000000000000000000000000000000001e00000000000000000000000000000000000000000000000000000000000000024f47261b00000000000000000000000004d224452801aced8b2f0aebe155379bb5d594381000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024f47261b0000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000421bece6de6278c85dd6695e8b7b1a965e45a5cbb406f6f70a2d9af265eae13701b5569a88111239a9ef875290bfd2b2d5c7d03021f2a411b10490b5834ac2f0fda804000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002800000000000000000000000000000000000000000000000000000000000004480000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000064ec77bbdb000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000000000190000000000000000000000000000001900000000000000000000000000000000000000000000000014d1120d7b16000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000024432ce0a7c000000000000000000000000000000000000000000000000000000000000008080000000000000000000000000000000000000000000000000000000000000440000000000000000000000002057cfb9fd11837d61b294d514c5bd03e5e7189a00000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000a4059712240000000000000000000000004d224452801aced8b2f0aebe155379bb5d594381000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004470bdb9470000000000000000000000004d224452801aced8b2f0aebe155379bb5d5943810000000000000000000000000000000000000000000001175b399321d14dfb760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000018414284aab000000000000000000000000000000000000000000000000000000000000008080000000000000000000000000000000000000000000000000000000000000440000000000000000000000004d224452801aced8b2f0aebe155379bb5d59438100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000064d1660f990000000000000000000000004d224452801aced8b2f0aebe155379bb5d5943810000000000000000000000001111111254fb6c44bac0bed2854e76f90643097d0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000065575cda,04-05-2022,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48_04-05-2022,0.9984317940780595,17146.72104786478
4,4,0x7d481c48d6d287d4cc41a3f80ea9f2cb12f7e508487598f23da57fd3ad2c1644,0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,112825.942784,6.0,USDC,0x7d481c48d6d287d4cc41a3f80ea9f2cb12f7e508487598f23da57fd3ad2c1644,328877,226561,39150008997,1651667161,14710927,0x2BB718a3986C36c6E02D8d15cdA4370820D08169,0x720D8790666bd40B9CA289CBe73cb1334f0aE7e3,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0000000000000000000000000000000000000000000000000000000000000000,0x6a761202,10,1288,0xac9650d8,000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000001a00000000000000000000000000000000000000000000000000000000000000084fc6f786500000000000000000000000000000000000000000000000000000000000355de000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffff00000000000000000000000000000000ffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004449404b7c0000000000000000000000000000000000000000000000021488c0fc8c34b55f000000000000000000000000720d8790666bd40b9ca289cbe73cb1334f0ae7e3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064df2ab5bb000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb480000000000000000000000000000000000000000000000000000001a44ed14c8000000000000000000000000720d8790666bd40b9ca289cbe73cb1334f0ae7e300000000000000000000000000000000000000000000000000000000,04-05-2022,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48_04-05-2022,0.9984317940780595,112649.00847237761
5,5,0x933f67d7a6a48b586a4cb0c2f22a0483dc037b573cd76cdad2e1b23e15f54b9d,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1.0,18.0,WETH,0x933f67d7a6a48b586a4cb0c2f22a0483dc037b573cd76cdad2e1b23e15f54b9d,192909,165641,45752230735,1651667335,14710935,0x74B5b3b0544338526f68837A440c2fe680eA242E,0x12d588b996DA5FF65038462D582F927f261cB17A,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,0x6a761202,10,840,0x5ae401dc,000000000000000000000000000000000000000000000000000000006272782c00000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000000de0b6b3a764000000000000000000000000000000000000000000000000000000000000a98616fc000000000000000000000000000000000000000000000000000000000000008000000000000000000000000012d588b996da5ff65038462d582f927f261cb17a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec700000000000000000000000000000000000000000000000000000000,04-05-2022,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2_04-05-2022,2787.745973946392,2787.745973946392
6,6,0x55ccbb99b51146547bef03ff83475c688525235702e1145406fe896d90bd0aa9,0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1151726.346984,6.0,USDC,0x55ccbb99b51146547bef03ff83475c688525235702e1145406fe896d90bd0aa9,327765,277294,42495063101,1651667335,14710935,0x2BB718a3986C36c6E02D8d15cdA4370820D08169,0x720D8790666bd40B9CA289CBe73cb1334f0aE7e3,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0000000000000000000000000000000000000000000000000000000000000000,0x6a761202,10,1096,0xac9650d8,000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000000a40c49ccbe000000000000000000000000000000000000000000000000000000000002f7b200000000000000000000000000000000000000000000000000571a92849b43c30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000627276f4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000084fc6f7865000000000000000000000000000000000000000000000000000000000002f7b2000000000000000000000000720d8790666bd40b9ca289cbe73cb1334f0ae7e300000000000000000000000000000000ffffffffffffffffffffffffffffffff00000000000000000000000000000000ffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000,04-05-2022,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48_04-05-2022,0.9984317940780595,1149920.2029062046
7,7,0xb0ca94c11eb344d5333d66a2077cf5cf535dd6a91c4c643425b4ab0a664fd256,0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,20021523.280665,6.0,USDC,0xb0ca94c11eb344d5333d66a2077cf5cf535dd6a91c4c643425b4ab0a664fd256,582171,517623,39802357991,1651667759,14710964,0x2BB718a3986C36c6E02D8d15cdA4370820D08169,0x720D8790666bd40B9CA289CBe73cb1334f0aE7e3,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0000000000000000000000000000000000000000000000000000000000000000,0x6a761202,10,712,0x88316456,000000000000000000000000111111111117dc0aa78b770fa6a738034120c302000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb480000000000000000000000000000000000000000000000000000000000002710fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffbc6c0fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffbcf580000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012359fc873190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012359fc87319000000000000000000000000720d8790666bd40b9ca289cbe73cb1334f0ae7e300000000000000000000000000000000000000000000000000000000627279d1,04-05-2022,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48_04-05-2022,0.9984317940780595,19990125.40928999
8,8,0xe31794038210ed6cb590f1943f68faae4b12ecfadca853ab7d8ebf6b894d9dbe,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,500.0,18.0,WETH,0xe31794038210ed6cb590f1943f68faae4b12ecfadca853ab7d8ebf6b894d9dbe,626829,516338,35775156081,1651668094,14711000,0x2BB718a3986C36c6E02D8d15cdA4370820D08169,0x720D8790666bd40B9CA289CBe73cb1334f0aE7e3,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x00000000000000000000000000000000000000000000001b1ae4d6e2ef500000,0x6a761202,10,1224,0xac9650d8,00000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000001e0000000000000000000000000000000000000000000000000000000000000016488316456000000000000000000000000111111111117dc0aa78b770fa6a738034120c302000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000000000000000002710fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffeb588fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffed018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b1ae4d6e2ef500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b1ae4d6e2ef500000000000000000000000000000720d8790666bd40b9ca289cbe73cb1334f0ae7e30000000000000000000000000000000000000000000000000000000062727a4400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000412210e8a00000000000000000000000000000000000000000000000000000000,04-05-2022,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2_04-05-2022,2787.745973946392,1393872.986973196
9,9,0x8fd1c8167396c670e1304114e59623a80855c582f3ae73aa65dc96d2fda77662,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1.5,18.0,WETH,0x8fd1c8167396c670e1304114e59623a80855c582f3ae73aa65dc96d2fda77662,213441,179060,38727056219,1651668252,14711011,0x412CF7A0767B4cC335C13Cd6e61C079A10f3b19b,0xf455fc3643b0A6025B971EfBA786508967E46AC0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x00000000000000000000000000000000000000000000000014d1120d7b160000,0x6a761202,10,840,0x5ae401dc,0000000000000000000000000000000000000000000000000000000062727c0100000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000e4472b43f300000000000000000000000000000000000000000000000014d1120d7b1600000000000000000000000000000000000000000000024d1ab8a8bdab5007f1f4cf0000000000000000000000000000000000000000000000000000000000000080000000000000000000000000f455fc3643b0a6025b971efba786508967e46ac00000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000b56a1f3310578f23120182fb2e58c087efe6e14700000000000000000000000000000000000000000000000000000000,04-05-2022,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2_04-05-2022,2787.745973946392,4181.618960919588
