,txHash,gasLimit,gasUsed,gasPrice,timestamp,blockNumber,from,to,_setToken,_sellComponent,_buyComponent,_exchangeAdapter,_executor,_netAmountSold,_netAmountReceived,_protocolFee,datetime
0,0x2d3ae62a7ebe46b7b496056e6414250645fd8e2c16e574e9663ad7eb8d48a563,750000,438697,51000000000,1627938145,12948233,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x480bc4791fb4b40ad171a706d73e36cb8954dd0c,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,33509939736728612551453,288061448671673174229,0,2021-08-02 22:02:25.000
1,0x5e4b341e181a39188eefb098c6df4dc294d05750306fe1a727e6bf2a866421c6,750000,305567,53000000000,1627938193,12948235,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbfad1987608a38bfa0fe4c5510c1af834ae21379,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,5730480476149963966,70610734948258157167,0,2021-08-02 22:03:13.000
2,0x1bdedc34e81aaf10f154eb294e17297500f4242954dfa348bf0e36db2445af0e,750000,370601,49000000000,1627938235,12948239,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x480bc4791fb4b40ad171a706d73e36cb8954dd0c,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,48810000000000000000,54669285414703188941,0,2021-08-02 22:03:55.000
3,0x98714725fba5970fc2610f9b862d1292d6c5ad675c8baec0bf104ac12cb6c7d2,750000,459516,49000000000,1627941477,12948476,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbfad1987608a38bfa0fe4c5510c1af834ae21379,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,551801710220229610517,67682316169607999574,0,2021-08-02 22:57:57.000
4,0xdd942a135dccd7202131ad364e15d35444f41a89c482e5686f606a528db6c239,750000,346228,40000000000,1627941519,12948483,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe5bf6376959b4b1bc0812c466c30f683e0c7af09,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,61039870000000000000000,37251100821623358289,0,2021-08-02 22:58:39.000
5,0x304767ee5663689805ae9254027bfcde71dd03c2514e6af1afd2163bb4a12480,750000,306935,50000000000,1627941551,12948486,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x408e41876cccdc0f92210600ef50372656052a38,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbfad1987608a38bfa0fe4c5510c1af834ae21379,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,48296550000000000000000,8039376265947876349,0,2021-08-02 22:59:11.000
6,0xe9be9f5aa5eac8cfbf1a2f5b96c9bd7fd14177cdcc8299757b5130f831942233,750000,303158,50000001459,1627941566,12948487,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0d4406736a8e336966f09811acb9e035bfd85a33,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,16326190000000000000000,1574346361419794267,0,2021-08-02 22:59:26.000
7,0xd2e8cf0e9872ee6ceb0e274edf33c0bce8d510415dfe1cc019a3a7480b06de18,750000,467539,50000001459,1627941608,12948490,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xba100000625a3754423978a60c9317c58a424e3d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x031a90be7f519af6f49c8cbaaa44e4ff806bea30,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,720917823275218870566,6025466652756724161,0,2021-08-02 23:00:08.000
8,0x38b943a1b5665363b533ed588f50bf8f756a154989fb519e5d372cf318156cf7,750000,305423,47000000000,1627941637,12948493,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0d4406736a8e336966f09811acb9e035bfd85a33,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,1902817590581511497077,591861705975896904,0,2021-08-02 23:00:37.000
9,0xba79d1c9d41496f741af67cb59f464c9446c7a6b345fb160a43a2409a12f2776,750000,551745,38500000000,1627941685,12948497,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3472a5a71965499acd81997a54bba8d852c6e53d,0xbfad1987608a38bfa0fe4c5510c1af834ae21379,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,10187654341536532265,2491260000000000000000,0,2021-08-02 23:01:25.000
