address,name,type
0x0fd270fe215b7975674e7567d9e7681f61e28ae8,test-id-1,identityAddress
0x9e0753b85358ffabd0dfe6b86d0c4935ccb529fe,test-id-2,identityAddress
0x0b2ae139eaf40ce219085741f1f44f30fbf4b958,test-id-3,identityAddress
0x83de62964f98b1c6aad997c3f88a1e6a25a2f8c9,ninja-id-1,identityAddress
0x0d0ccdd8986ffffbd00e6cbf317147205ffb129a,ninja-id-2,activeTakerAddresses
0x6b2902918a10984875f7ac6fd3eae87d1cdbb4a6,ninja-id-3,identityAddress
0x26cbc5650944a0d0454291dcc105646c52c70b00,ninja-id-3,activeTakerAddresses
0x211b6a1137bf539b2750e02b9e525cf5757a35ae,ninja,identityAddress
0xea97be92160121a4ee95a1be3fd61c7e663596d9,ninja,activeTakerAddresses
0x89d2495fd1d327ecb7fd420447d460e5a92e6dac,ninja,activeTakerAddresses
0x4f0604820e8ddc0959bc6143196e3091d02f061c,ninja,activeTakerAddresses
0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses
0xca77dc47eec9e1c46c9f541ba0f222e741d6236b,ninja,activeTakerAddresses
0x08e2af71db66d0a64136be9d4dabb8a3334f152f,ninja,activeTakerAddresses
0xed158390268bbe9d2cc450acaba2459c02bbcb03,ninja,activeTakerAddresses
0xff80d0aba54b1b89547e029a76fe93e7807d8ee7,ninja,activeTakerAddresses
0xccb1a61c1348cec6eddd45abd8ba2f099d3836a0,MM-1,identityAddress
0x733c056c6c3adb0ce05ba1e4cd7aa791d3130cfa,MM-1,activeStakeAddresses
0xc0fec9f3141dc55eee4a9d27180711cf024b09ae,MM-1,activeTakerAddresses
0x50ae18124c446d48855fae387e66eacd203eea5a,MM-1,activeTakerAddresses
0x950ad2a62e5f5d7a6c4a029dfa7e590a25671eb8,MM-1,activeTakerAddresses
0x8014e9c96d249e007b62782eb2bea0d7c50e511e,MM-1,activeTakerAddresses
0xfee071a90180e8490d40ab679cc89318978e3076,MM-1,activeTakerAddresses
0x563bdabaa8846ec445b25bfbed88d160890a02ed,MM-1,activeTakerAddresses
0x82836c765a5096e8635637459dd77076ad54cd08,MM-1,activeTakerAddresses
0xa3d6cd5dbc27fdf2e6390a6541bd06339ffe4d7e,MM-1,activeTakerAddresses
0xede54e13c1a15f2d3deb033156d91bf8e1d04cf3,MM-1,activeTakerAddresses
0x4156e87805680e126afbb3881ca11500f79ae4cc,MM-1,activeTakerAddresses
0x5e19abde092fa437ca9206ab7748d166402766c5,MM-1,activeTakerAddresses
0x766648e039e663eea55463782a5f0543dce7fe17,MM-2,identityAddress
0x92a28c010aae2e3c24dcfebc0112c5a9c837f66f,MM-2,activeTakerAddresses
0x836c2aa2a0f201b01854f595cf19f6e718bb15bc,MM-2,activeTakerAddresses
0x7adc43155013cc9a74dc08701b89b4b70b49a040,MM-2,activeTakerAddresses
0x1264f83b093abbf840ea80a361988d19c7f5a686,MM-2,activeTakerAddresses
0xb2932649323ed500340223a49dedd4a8b6767e4d,MM-2,activeTakerAddresses
0x942a70014b6ba71ec84b16e1604fc76b1071eaf9,MM-2,activeTakerAddresses
0xb6e4ab3fdf4b9f33772908d50717ec79340b86e8,MM-3,identityAddress
0x62277691828dab37f089ef098749a390a0eb4514,MM-3,activeStakeAddresses
0x759fe87493546594f2f969542f3274bd0bacde41,MM-3,activeStakeAddresses
0xfe4eabe69c617f35d6082593b05e6de46a9abe1d,MM-3,activeTakerAddresses
0x721e2c5f2dd87aaf2803e236e6e31a265fac5e41,MM-3,activeTakerAddresses
