,Unnamed: 0.1,Unnamed: 0,txHash,_borrower,_token,amount,fee,gasLimit,gasUsed,gasPrice,timestamp,blockNumber,from,to,poolVersion,_tokenSymbol,_tokenDecimals,address,name,type,datetime,mark_x,nominalAmountBorrowed, dollarAmountBorrowed ,feeDecoded,borrowedAsset,transferSize,borrowedAssetSymbol,pnl,mark_y,overBorrowed,transfersRecordedInBorrowedAsset
0,9942,0,0x0b947f5b57ef391e7bc83791e8349436a670a54dca338e60186465d2c4feef7f,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000013c93fdaf33241000000,0x000000000000000000000000004a5d4fb5fb0030,642439,334304,25806000000,1624568208,12699111,0xcA77Dc47eec9E1C46c9F541ba0f222E741d6236b,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,DAI,18,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,56:48.0,1,93437.35999,93437.35999,0.020931745,0x6b175474e89094c44da98b954eedeac495271d0f,"[0.020931745213513778, 93437.35999070536, 93437.35999070536, 93437.38092245057, 93646.67744284049]",DAI,209.3174521,1,FALSE,5
1,9970,28,0xc4d7d0372c9e002c42c92fe51aeae272efbf56ea1cc0d956d55acb0ec62cc301,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x00000000000000000000000000000015a3a3ef00,0x000000000000000000000000000000000001e5c0,840306,481499,15708000000,1624594571,12701086,0xcA77Dc47eec9E1C46c9F541ba0f222E741d6236b,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,USDC,6,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,16:11.0,1,92939.74298,92939.74298,0.124352,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"[0.124352, 92939.742976, 92939.742976, 92939.867328, 94183.263613]",USDC,1243.520637,1,FALSE,5
2,9971,29,0xf92cef743c6554b7cb9e0ff6b17ce88f5a62c0011765a0411e707e4c3855a01b,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000013aecdd7f41cad000000,0x00000000000000000000000000634ad3aecf197e,854490,409842,15708000000,1624594715,12701102,0xFf80D0aba54b1b89547E029A76Fe93e7807d8eE7,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,DAI,18,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,18:35.0,1,92949.52924,92949.52924,0.027948296,0x6b175474e89094c44da98b954eedeac495271d0f,"[0.027948295725717887, 92949.5292356505, 92949.5292356505, 92949.5571839462, 93229.01219290767]",DAI,279.4829573,1,FALSE,5
3,10002,60,0x99cfd0f2fff934d1da163b27f27f1d6acdd835be1b032c4f771062fc08b49e98,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000012db25feafe1c8000000,0x0000000000000000000000000020ffc7fc874353,642439,334376,20196000000,1624617485,12702761,0x89D2495fd1D327ecB7fD420447D460E5A92e6DaC,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,DAI,18,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,38:05.0,1,89045.17146,89045.17146,0.009288434,0x6b175474e89094c44da98b954eedeac495271d0f,"[0.009288433655038803, 89045.17146280374, 89045.17146280374, 89045.1807512374, 89138.05579935414]",DAI,92.88433655,1,FALSE,5
4,10003,61,0x62012c999aa9ab516c9afcae7069c3fbe94eed59523791046cd17d64faea0e1f,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000012db25feafe1c8000000,0x0000000000000000000000000007d42d0f04fd2a,642439,317675,20196000000,1624617501,12702762,0xea97BE92160121A4EE95A1BE3Fd61c7E663596D9,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,DAI,18,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,38:21.0,1,89045.17146,89045.17146,0.002203615,0x6b175474e89094c44da98b954eedeac495271d0f,"[0.002203614827576618, 21525.7716871258, 21547.807835401567, 89045.17146280374, 89045.17366641857]",DAI,22.03614828,1,TRUE,5
5,10015,73,0xf8842424e2833a6437574be6db7017cf001c8779e172bf2d9debd28b4db8d0ba,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0x00000000000000000000000000000001355e88e7,0x00000000000000000000000000000000000000df,744659,339145,0,1624623105,12703202,0xfEFdF7d47156c8fD170B3A6F6c2359Fc4f0DB125,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,renBTC,8,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,11:45.0,31637.7793,51.90355175,1642113.115,0.070552248,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,"[2.23e-06, 51.90355175, 51.90355175, 51.90355398, 51.92587843]",renBTC,0.02232668,31637.7793,FALSE,5
6,10017,75,0x7c6070ac7ead4ddf6c49b04e15b5e3bb8512fcc3a23fee10d7f18f1e5c6d2249,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0x00000000000000000000000000000002ba20f676,0x00000000000000000000000000000000000002e9,744659,339133,0,1624623256,12703210,0x975Eac3e6dA5281d00844b251Cd146b9621Ef824,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,renBTC,8,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,14:16.0,31637.7793,117.1265701,3705624.576,0.235701456,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,"[7.45e-06, 117.12657014, 117.12657014, 117.12657759, 117.20111069]",renBTC,0.07454055,31637.7793,FALSE,5
7,10041,99,0xcb965af07c0988a124be465808cc1ce680855b20c4a996d0c64c64f52a9e5f8a,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000007eac72abc5c22800000,0x00000000000000000000000000235acd07a5cf8b,971710,590915,0,1624648698,12705042,0x975Eac3e6dA5281d00844b251Cd146b9621Ef824,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,DAI,18,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,18:18.0,1,37387.45498,37387.45498,0.009951461,0x6b175474e89094c44da98b954eedeac495271d0f,"[0.009951460827975564, 37387.45498360202, 37387.45498360202, 37387.46493506285, 37486.96959188178]",DAI,99.51460828,1,FALSE,5
8,10073,131,0x9c9f0b8b332d2d4ef81b32fdc1cc215eccee521f02073f1d07bc33f5bcfbe570,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000001307862dbe,0x000000000000000000000000000000000000693a,832713,403112,22440000000,1624694965,12708512,0x89D2495fd1D327ecB7fD420447D460E5A92e6DaC,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,USDC,6,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,09:25.0,1,81730.61267,81730.61267,0.026938,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"[0.026938, 81730.61267, 81730.61267, 81730.639608, 82000.0]",USDC,269.38733,1,FALSE,5
9,10081,139,0xd887d9dc135ac8e757639e92cb2022d082b38de827b1b8a33831daa1cab0743b,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x000000000000000000000008856fde1f08480000,0x0000000000000000000000000000d718603af589,747638,375105,0,1624702258,12709075,0x6F1791978Ef090d3cEd90144536BC35103f434eD,0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,v4,ETH,18,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ninja,activeTakerAddresses,10:58.0,1829.239258,157.1891005," 287,536.474 ",0.432614524,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"[157.189100544, 159.55409748063624]",ETH,2.364996937,1829.239258,FALSE,2
