Date,Protocol Revenue ($),Treasury Revenue ($)
2022-04-21,2239.67,559.92
2022-04-22,0,0
2022-04-23,22980.07,5745.02
2022-04-24,0,0
2022-04-25,2757.07,689.27
2022-04-26,0,0
2022-04-27,3417.53,854.38
2022-04-28,0,0
2022-04-29,3763.97,940.99
2022-04-30,0,0
2022-05-01,0,0
2022-05-02,0,0
2022-05-03,20892.13,5223.03
2022-05-04,0,0
2022-05-05,4686.88,1171.72
2022-05-06,0,0
2022-05-07,2535.35,633.84
2022-05-08,0,0
2022-05-09,0,0
2022-05-10,3194.51,798.63
2022-05-11,0,0
2022-05-12,9075.62,2268.91
2022-05-13,0,0
2022-05-14,3795.73,948.93
2022-05-15,0,0
2022-05-16,3709.23,927.31
2022-05-17,0,0
2022-05-18,3833.38,958.34
2022-05-19,0,0
2022-05-20,4440.24,1110.06
2022-05-21,0,0
2022-05-22,14616.95,3654.24
2022-05-23,0,0
2022-05-24,1857.23,464.31
2022-05-25,0,0
2022-05-26,3071.45,767.86
2022-05-27,0,0
2022-05-28,11329.68,2832.42
2022-05-29,0,0
2022-05-30,397.85,99.46
2022-05-31,0,0
2022-06-01,1101.13,275.28
2022-06-02,0,0
2022-06-03,2194.01,548.5
2022-06-04,0,0
2022-06-05,0,0
2022-06-06,750.17,187.54
2022-06-07,0,0
2022-06-08,2518.68,629.67
2022-06-09,0,0
2022-06-10,315.14,78.79
2022-06-11,0,0
2022-06-12,3209.56,802.39
2022-06-13,0,0
2022-06-14,15110.23,3777.56
2022-06-15,0,0
2022-06-16,3013.83,753.46
2022-06-17,0,0
2022-06-18,0,0
2022-06-19,19368.62,4842.15
2022-06-20,0,0
2022-06-21,3347.02,836.76
2022-06-22,0,0
2022-06-23,2297.53,574.38
2022-06-24,0,0
2022-06-25,0,0
2022-06-26,8208.26,2052.07
2022-06-27,0,0
2022-06-28,1394.19,348.55
